City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Georgetown,MY,80.24,scattered clouds,5.4112,100.3354,
22,Gigmoto,PH,80.37,overcast clouds,13.7796,124.39,
28,Sola,VU,80.13,clear sky,-13.8833,167.55,
36,Lorengau,PG,80.22,overcast clouds,-2.0226,147.2712,
64,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,
66,Labuhan,ID,79.63,light rain,-6.8844,112.2051,
68,Cabo San Lucas,MX,80.62,scattered clouds,22.8909,-109.9124,
75,Hobyo,SO,80.89,clear sky,5.3505,48.5268,
81,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,
83,Kudahuvadhoo,MV,80.46,heavy intensity rain,2.6708,72.8944,
95,Ghanzi,BW,80.82,clear sky,-21.5667,21.7833,
99,Butaritari,KI,79.66,overcast clouds,3.0707,172.7902,
101,Bonthe,SL,79.47,overcast clouds,7.5264,-12.505,
110,Kavaratti,IN,80.11,overcast clouds,10.5669,72.642,
163,Male,MV,80.55,broken clouds,4.1748,73.5089,
167,Shakawe,BW,79.61,few clouds,-18.3667,21.85,
179,Port Keats,AU,80.82,overcast clouds,-14.25,129.55,
202,Daru,PG,79.7,overcast clouds,-9.0763,143.2092,
212,Sao Jose Da Coroa Grande,BR,80.92,few clouds,-8.8978,-35.1478,
226,Kintampo,GH,80.62,overcast clouds,8.0563,-1.7306,
251,Del Pilar,PH,80.37,overcast clouds,15.0333,120.7,
261,Kieta,PG,80.04,broken clouds,-6.2167,155.6333,
284,Bandarbeyla,SO,79.16,clear sky,9.4942,50.8122,
291,Nanakuli,US,79.45,scattered clouds,21.3906,-158.1547,
306,Kahului,US,80.62,light rain,20.8947,-156.47,
340,Caruray,PH,80.15,overcast clouds,10.3094,119.0128,
367,Amahai,ID,79.14,overcast clouds,-3.3333,128.9167,
374,Belmonte,BR,80.56,overcast clouds,-15.8631,-38.8828,
423,Palauig,PH,80.2,broken clouds,15.435,119.9045,
448,Wapi Pathum,TH,79.32,overcast clouds,15.8452,103.3768,
449,Tonj,SS,79.02,overcast clouds,7.2737,28.6822,
494,Anito,PH,79.27,overcast clouds,12.4497,125.2886,
507,Lamu,KE,79.02,few clouds,-2.2717,40.902,
525,San Juan De Los Morros,VE,80.15,overcast clouds,9.9115,-67.3538,
530,Sorong,ID,80.13,overcast clouds,-0.8833,131.25,
533,Marsh Harbour,BS,79.29,broken clouds,26.5412,-77.0636,
538,Waingapu,ID,80.49,overcast clouds,-9.6567,120.2641,
544,Pak Phanang,TH,79.21,moderate rain,8.3511,100.202,
546,Catuday,PH,79.03,few clouds,16.2923,119.8062,
573,Mogadishu,SO,79.14,few clouds,2.0371,45.3438,
597,Tari,NG,81.0,clear sky,12.4086,4.4914,
598,Takoradi,GH,79.29,light rain,4.8845,-1.7554,
628,Buala,SB,80.17,broken clouds,-8.145,159.5921,
638,Mahibadhoo,MV,80.96,light rain,3.7833,72.9667,
644,Mulanje,MW,79.2,overcast clouds,-16.0316,35.5,
655,Maragogi,BR,79.41,few clouds,-9.0122,-35.2225,
661,Sinnamary,GF,79.74,moderate rain,5.3833,-52.95,
674,Amapa,BR,80.96,overcast clouds,1.0,-52.0,
681,Bull Savanna,JM,79.7,light rain,17.8868,-77.5902,
697,Conakry,GN,80.67,scattered clouds,9.538,-13.6773,
