City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,78.42,54,94,8.25,overcast clouds
1,Hilo,US,19.7297,-155.09,78.53,74,20,8.05,few clouds
2,Barrow,US,71.2906,-156.7887,21.22,68,100,16.11,overcast clouds
3,Georgetown,MY,5.4112,100.3354,80.24,90,40,1.14,scattered clouds
4,Esperance,AU,-33.8667,121.9,55.71,67,100,7.78,overcast clouds
5,Klaksvik,FO,62.2266,-6.589,50.92,94,59,13.56,broken clouds
6,Chokurdakh,RU,70.6333,147.9167,-31.23,100,90,5.12,overcast clouds
7,Grand Gaube,MU,-20.0064,57.6608,72.37,69,0,3.0,clear sky
8,Weinan,CN,34.5036,109.5089,47.75,50,20,3.09,few clouds
9,Cayenne,GF,4.9333,-52.3333,82.44,78,75,10.36,broken clouds
10,Port Elizabeth,ZA,-33.918,25.5701,61.11,86,5,9.24,clear sky
11,Qaanaaq,GL,77.484,-69.3632,2.26,97,100,3.89,overcast clouds
12,Atuona,PF,-9.8,-139.0333,77.67,79,3,20.09,clear sky
13,Westport,US,41.1415,-73.3579,53.89,60,40,12.66,scattered clouds
14,Albany,US,42.6001,-73.9662,47.39,68,98,5.99,overcast clouds
15,Amla,IN,21.9333,78.1167,60.46,51,0,4.7,clear sky
16,Vardo,NO,70.3705,31.1107,30.18,80,0,12.66,clear sky
17,Ushuaia,AR,-54.8,-68.3,58.66,44,20,14.97,few clouds
18,Taltal,CL,-25.4,-70.4833,67.44,56,22,5.97,few clouds
19,Blagoyevo,RU,63.3667,47.9167,21.99,83,100,13.4,overcast clouds
20,Severodvinsk,RU,64.5635,39.8302,30.31,75,37,18.77,scattered clouds
21,Kodiak,US,57.79,-152.4072,36.91,87,100,17.27,light rain
22,Gigmoto,PH,13.7796,124.39,80.37,86,100,10.2,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,46.76,94,53,4.09,broken clouds
24,Dikson,RU,73.5069,80.5464,-5.66,100,100,8.43,overcast clouds
25,Avarua,CK,-21.2078,-159.775,75.25,60,40,9.22,scattered clouds
26,Vaini,TO,-21.2,-175.2,75.13,90,100,22.17,moderate rain
27,Busselton,AU,-33.65,115.3333,48.04,82,0,9.51,clear sky
28,Sola,VU,-13.8833,167.55,80.13,75,3,2.39,clear sky
29,Mar Del Plata,AR,-38.0023,-57.5575,66.94,93,75,12.66,light rain
30,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.02,87,100,1.5,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,74.73,88,95,16.71,overcast clouds
32,Kiama,AU,-34.6833,150.8667,67.37,92,100,1.99,overcast clouds
33,Port Alfred,ZA,-33.5906,26.891,60.19,82,5,1.99,clear sky
34,Punta Arenas,CL,-53.15,-70.9167,64.51,34,0,14.97,clear sky
35,San Isidro,PE,-12.1167,-77.05,70.02,73,100,6.91,overcast clouds
36,Lorengau,PG,-2.0226,147.2712,80.22,83,100,7.4,overcast clouds
37,Sembakung,ID,3.8167,117.25,73.72,99,78,2.37,moderate rain
38,Flinders,AU,-34.5833,150.8552,67.17,91,100,1.99,overcast clouds
39,Pisco,PE,-13.7,-76.2167,68.05,73,75,8.05,haze
40,Bengkulu,ID,-3.8004,102.2655,73.92,95,100,3.44,light rain
41,Bethel,US,41.3712,-73.414,52.54,62,100,13.8,overcast clouds
42,Mbandaka,CD,0.0487,18.2603,71.2,98,100,2.04,overcast clouds
43,Longyearbyen,SJ,78.2186,15.6401,26.44,80,75,10.36,broken clouds
44,Severo-Kurilsk,RU,50.6789,156.125,31.51,87,100,17.9,light snow
45,Bluff,NZ,-46.6,168.3333,47.41,83,10,8.19,clear sky
46,Port Hueneme,US,34.1478,-119.1951,68.45,45,0,11.5,clear sky
47,Kastrakion,GR,39.7156,21.6181,53.28,95,94,0.89,overcast clouds
48,Hermanus,ZA,-34.4187,19.2345,57.79,85,0,0.92,clear sky
49,Qianjiang,CN,30.4151,112.8859,47.23,67,51,7.4,broken clouds
